========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 1426 words (Chuẩn: 16 + 256 + 1152 + 2 = 1426)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 125  | Hex: 0000FE1C | Flt: 6  Ch: 13 | (No Threshold)                | W_9b: 000011100
Addr 126  | Hex: 0000FE26 | Flt: 6  Ch: 14 | (No Threshold)                | W_9b: 000100110
Addr 127  | Hex: 55468040 | Flt: 6  Ch: 15 | Pol: 1 | Pos_Th: 70  | Neg_Th: 85  | W_9b: 001000000
Addr 128  | Hex: 0000FE0B | Flt: 7  Ch: 0  | (No Threshold)                | W_9b: 000001011
Addr 129  | Hex: 0000FE5A | Flt: 7  Ch: 1  | (No Threshold)                | W_9b: 001011010
Addr 130  | Hex: 0000FE59 | Flt: 7  Ch: 2  | (No Threshold)                | W_9b: 001011001
Addr 131  | Hex: 0000FF42 | Flt: 7  Ch: 3  | (No Threshold)                | W_9b: 101000010
Addr 132  | Hex: 0000FEB6 | Flt: 7  Ch: 4  | (No Threshold)                | W_9b: 010110110
Addr 133  | Hex: 0000FF8B | Flt: 7  Ch: 5  | (No Threshold)                | W_9b: 110001011
Addr 134  | Hex: 0000FFA2 | Flt: 7  Ch: 6  | (No Threshold)                | W_9b: 110100010
Addr 135  | Hex: 0000FFA7 | Flt: 7  Ch: 7  | (No Threshold)                | W_9b: 110100111
Addr 136  | Hex: 0000FFF3 | Flt: 7  Ch: 8  | (No Threshold)                | W_9b: 111110011
Addr 137  | Hex: 0000FE1B | Flt: 7  Ch: 9  | (No Threshold)                | W_9b: 000011011
Addr 138  | Hex: 0000FEE2 | Flt: 7  Ch: 10 | (No Threshold)                | W_9b: 011100010
Addr 139  | Hex: 0000FFA5 | Flt: 7  Ch: 11 | (No Threshold)                | W_9b: 110100101
Addr 140  | Hex: 0000FE4C | Flt: 7  Ch: 12 | (No Threshold)                | W_9b: 001001100
Addr 141  | Hex: 0000FE59 | Flt: 7  Ch: 13 | (No Threshold)                | W_9b: 001011001
Addr 142  | Hex: 0000FE4A | Flt: 7  Ch: 14 | (No Threshold)                | W_9b: 001001010
Addr 143  | Hex: 53468172 | Flt: 7  Ch: 15 | Pol: 1 | Pos_Th: 70  | Neg_Th: 83  | W_9b: 101110010
Addr 144  | Hex: 0000FEFD | Flt: 8  Ch: 0  | (No Threshold)                | W_9b: 011111101
Addr 145  | Hex: 0000FFC5 | Flt: 8  Ch: 1  | (No Threshold)                | W_9b: 111000101
Addr 146  | Hex: 0000FFB4 | Flt: 8  Ch: 2  | (No Threshold)                | W_9b: 110110100
Addr 147  | Hex: 0000FEDB | Flt: 8  Ch: 3  | (No Threshold)                | W_9b: 011011011
Addr 148  | Hex: 0000FE99 | Flt: 8  Ch: 4  | (No Threshold)                | W_9b: 010011001
Addr 149  | Hex: 0000FEDE | Flt: 8  Ch: 5  | (No Threshold)                | W_9b: 011011110
Addr 150  | Hex: 0000FE63 | Flt: 8  Ch: 6  | (No Threshold)                | W_9b: 001100011
Addr 151  | Hex: 0000FE48 | Flt: 8  Ch: 7  | (No Threshold)                | W_9b: 001001000
Addr 152  | Hex: 0000FE48 | Flt: 8  Ch: 8  | (No Threshold)                | W_9b: 001001000
Addr 153  | Hex: 0000FEFF | Flt: 8  Ch: 9  | (No Threshold)                | W_9b: 011111111
Addr 154  | Hex: 0000FE73 | Flt: 8  Ch: 10 | (No Threshold)                | W_9b: 001110011
Addr 155  | Hex: 0000FEF3 | Flt: 8  Ch: 11 | (No Threshold)                | W_9b: 011110011
Addr 156  | Hex: 0000FFE6 | Flt: 8  Ch: 12 | (No Threshold)                | W_9b: 111100110
Addr 157  | Hex: 0000FE6E | Flt: 8  Ch: 13 | (No Threshold)                | W_9b: 001101110
Addr 158  | Hex: 0000FE86 | Flt: 8  Ch: 14 | (No Threshold)                | W_9b: 010000110
Addr 159  | Hex: 51458048 | Flt: 8  Ch: 15 | Pol: 1 | Pos_Th: 69  | Neg_Th: 81  | W_9b: 001001000
Addr 160  | Hex: 0000FF64 | Flt: 9  Ch: 0  | (No Threshold)                | W_9b: 101100100
Addr 161  | Hex: 0000FE37 | Flt: 9  Ch: 1  | (No Threshold)                | W_9b: 000110111
Addr 162  | Hex: 0000FF06 | Flt: 9  Ch: 2  | (No Threshold)                | W_9b: 100000110
Addr 163  | Hex: 0000FE68 | Flt: 9  Ch: 3  | (No Threshold)                | W_9b: 001101000
Addr 164  | Hex: 0000FE58 | Flt: 9  Ch: 4  | (No Threshold)                | W_9b: 001011000
Addr 165  | Hex: 0000FE48 | Flt: 9  Ch: 5  | (No Threshold)                | W_9b: 001001000
Addr 166  | Hex: 0000FE6D | Flt: 9  Ch: 6  | (No Threshold)                | W_9b: 001101101
Addr 167  | Hex: 0000FE40 | Flt: 9  Ch: 7  | (No Threshold)                | W_9b: 001000000
Addr 168  | Hex: 0000FE2C | Flt: 9  Ch: 8  | (No Threshold)                | W_9b: 000101100
Addr 169  | Hex: 0000FF83 | Flt: 9  Ch: 9  | (No Threshold)                | W_9b: 110000011
Addr 170  | Hex: 0000FE4D | Flt: 9  Ch: 10 | (No Threshold)                | W_9b: 001001101
Addr 171  | Hex: 0000FE48 | Flt: 9  Ch: 11 | (No Threshold)                | W_9b: 001001000
Addr 172  | Hex: 0000FE17 | Flt: 9  Ch: 12 | (No Threshold)                | W_9b: 000010111
Addr 173  | Hex: 0000FF3F | Flt: 9  Ch: 13 | (No Threshold)                | W_9b: 100111111
Addr 174  | Hex: 0000FF94 | Flt: 9  Ch: 14 | (No Threshold)                | W_9b: 110010100
Addr 175  | Hex: 51448042 | Flt: 9  Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 81  | W_9b: 001000010
Addr 176  | Hex: 0000FE6A | Flt: 10 Ch: 0  | (No Threshold)                | W_9b: 001101010
Addr 177  | Hex: 0000FE66 | Flt: 10 Ch: 1  | (No Threshold)                | W_9b: 001100110
Addr 178  | Hex: 0000FE66 | Flt: 10 Ch: 2  | (No Threshold)                | W_9b: 001100110
