========== BÁO CÁO GIẢI MÃ CHÍNH XÁC BNN WEIGHTS ==========
Tổng số từ: 2580 words (Chuẩn: 16 + 256 + 2304 + 4 = 2580)
===========================================================


--- LỚP CONV1 (16 Filters x 9-bit) ---
Addr 124  | Hex: 0000FE1A | Flt: 6  Ch: 12 | (No Threshold)                | W_9b: 000011010
Addr 125  | Hex: 0000FEC8 | Flt: 6  Ch: 13 | (No Threshold)                | W_9b: 011001000
Addr 126  | Hex: 0000FE40 | Flt: 6  Ch: 14 | (No Threshold)                | W_9b: 001000000
Addr 127  | Hex: 514480C8 | Flt: 6  Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 81  | W_9b: 011001000
Addr 128  | Hex: 0000FF07 | Flt: 7  Ch: 0  | (No Threshold)                | W_9b: 100000111
Addr 129  | Hex: 0000FECC | Flt: 7  Ch: 1  | (No Threshold)                | W_9b: 011001100
Addr 130  | Hex: 0000FE10 | Flt: 7  Ch: 2  | (No Threshold)                | W_9b: 000010000
Addr 131  | Hex: 0000FF09 | Flt: 7  Ch: 3  | (No Threshold)                | W_9b: 100001001
Addr 132  | Hex: 0000FF05 | Flt: 7  Ch: 4  | (No Threshold)                | W_9b: 100000101
Addr 133  | Hex: 0000FEA1 | Flt: 7  Ch: 5  | (No Threshold)                | W_9b: 010100001
Addr 134  | Hex: 0000FE13 | Flt: 7  Ch: 6  | (No Threshold)                | W_9b: 000010011
Addr 135  | Hex: 0000FF8B | Flt: 7  Ch: 7  | (No Threshold)                | W_9b: 110001011
Addr 136  | Hex: 0000FF3B | Flt: 7  Ch: 8  | (No Threshold)                | W_9b: 100111011
Addr 137  | Hex: 0000FE43 | Flt: 7  Ch: 9  | (No Threshold)                | W_9b: 001000011
Addr 138  | Hex: 0000FE3C | Flt: 7  Ch: 10 | (No Threshold)                | W_9b: 000111100
Addr 139  | Hex: 0000FF0B | Flt: 7  Ch: 11 | (No Threshold)                | W_9b: 100001011
Addr 140  | Hex: 0000FE0E | Flt: 7  Ch: 12 | (No Threshold)                | W_9b: 000001110
Addr 141  | Hex: 0000FE4C | Flt: 7  Ch: 13 | (No Threshold)                | W_9b: 001001100
Addr 142  | Hex: 0000FFF4 | Flt: 7  Ch: 14 | (No Threshold)                | W_9b: 111110100
Addr 143  | Hex: 53488067 | Flt: 7  Ch: 15 | Pol: 1 | Pos_Th: 72  | Neg_Th: 83  | W_9b: 001100111
Addr 144  | Hex: 0000FF37 | Flt: 8  Ch: 0  | (No Threshold)                | W_9b: 100110111
Addr 145  | Hex: 0000FE6A | Flt: 8  Ch: 1  | (No Threshold)                | W_9b: 001101010
Addr 146  | Hex: 0000FF92 | Flt: 8  Ch: 2  | (No Threshold)                | W_9b: 110010010
Addr 147  | Hex: 0000FECB | Flt: 8  Ch: 3  | (No Threshold)                | W_9b: 011001011
Addr 148  | Hex: 0000FF6E | Flt: 8  Ch: 4  | (No Threshold)                | W_9b: 101101110
Addr 149  | Hex: 0000FF93 | Flt: 8  Ch: 5  | (No Threshold)                | W_9b: 110010011
Addr 150  | Hex: 0000FE91 | Flt: 8  Ch: 6  | (No Threshold)                | W_9b: 010010001
Addr 151  | Hex: 0000FE9A | Flt: 8  Ch: 7  | (No Threshold)                | W_9b: 010011010
Addr 152  | Hex: 0000FF83 | Flt: 8  Ch: 8  | (No Threshold)                | W_9b: 110000011
Addr 153  | Hex: 0000FFC3 | Flt: 8  Ch: 9  | (No Threshold)                | W_9b: 111000011
Addr 154  | Hex: 0000FE63 | Flt: 8  Ch: 10 | (No Threshold)                | W_9b: 001100011
Addr 155  | Hex: 0000FEB7 | Flt: 8  Ch: 11 | (No Threshold)                | W_9b: 010110111
Addr 156  | Hex: 0000FEE3 | Flt: 8  Ch: 12 | (No Threshold)                | W_9b: 011100011
Addr 157  | Hex: 0000FE49 | Flt: 8  Ch: 13 | (No Threshold)                | W_9b: 001001001
Addr 158  | Hex: 0000FF00 | Flt: 8  Ch: 14 | (No Threshold)                | W_9b: 100000000
Addr 159  | Hex: 4C44806C | Flt: 8  Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 76  | W_9b: 001101100
Addr 160  | Hex: 0000FE24 | Flt: 9  Ch: 0  | (No Threshold)                | W_9b: 000100100
Addr 161  | Hex: 0000FEF8 | Flt: 9  Ch: 1  | (No Threshold)                | W_9b: 011111000
Addr 162  | Hex: 0000FF86 | Flt: 9  Ch: 2  | (No Threshold)                | W_9b: 110000110
Addr 163  | Hex: 0000FF48 | Flt: 9  Ch: 3  | (No Threshold)                | W_9b: 101001000
Addr 164  | Hex: 0000FE6F | Flt: 9  Ch: 4  | (No Threshold)                | W_9b: 001101111
Addr 165  | Hex: 0000FEE7 | Flt: 9  Ch: 5  | (No Threshold)                | W_9b: 011100111
Addr 166  | Hex: 0000FEB7 | Flt: 9  Ch: 6  | (No Threshold)                | W_9b: 010110111
Addr 167  | Hex: 0000FEB7 | Flt: 9  Ch: 7  | (No Threshold)                | W_9b: 010110111
Addr 168  | Hex: 0000FFA6 | Flt: 9  Ch: 8  | (No Threshold)                | W_9b: 110100110
Addr 169  | Hex: 0000FFC7 | Flt: 9  Ch: 9  | (No Threshold)                | W_9b: 111000111
Addr 170  | Hex: 0000FE08 | Flt: 9  Ch: 10 | (No Threshold)                | W_9b: 000001000
Addr 171  | Hex: 0000FE27 | Flt: 9  Ch: 11 | (No Threshold)                | W_9b: 000100111
Addr 172  | Hex: 0000FE00 | Flt: 9  Ch: 12 | (No Threshold)                | W_9b: 000000000
Addr 173  | Hex: 0000FEDB | Flt: 9  Ch: 13 | (No Threshold)                | W_9b: 011011011
Addr 174  | Hex: 0000FE49 | Flt: 9  Ch: 14 | (No Threshold)                | W_9b: 001001001
Addr 175  | Hex: 524280CB | Flt: 9  Ch: 15 | Pol: 1 | Pos_Th: 66  | Neg_Th: 82  | W_9b: 011001011
Addr 176  | Hex: 0000FE27 | Flt: 10 Ch: 0  | (No Threshold)                | W_9b: 000100111
Addr 177  | Hex: 0000FEE9 | Flt: 10 Ch: 1  | (No Threshold)                | W_9b: 011101001
Addr 178  | Hex: 0000FFD4 | Flt: 10 Ch: 2  | (No Threshold)                | W_9b: 111010100
Addr 179  | Hex: 0000FFE8 | Flt: 10 Ch: 3  | (No Threshold)                | W_9b: 111101000
Addr 180  | Hex: 0000FF40 | Flt: 10 Ch: 4  | (No Threshold)                | W_9b: 101000000
Addr 181  | Hex: 0000FE38 | Flt: 10 Ch: 5  | (No Threshold)                | W_9b: 000111000
Addr 182  | Hex: 0000FE8D | Flt: 10 Ch: 6  | (No Threshold)                | W_9b: 010001101
Addr 183  | Hex: 0000FE87 | Flt: 10 Ch: 7  | (No Threshold)                | W_9b: 010000111
Addr 184  | Hex: 0000FE8C | Flt: 10 Ch: 8  | (No Threshold)                | W_9b: 010001100
Addr 185  | Hex: 0000FFA8 | Flt: 10 Ch: 9  | (No Threshold)                | W_9b: 110101000
Addr 186  | Hex: 0000FE4F | Flt: 10 Ch: 10 | (No Threshold)                | W_9b: 001001111
Addr 187  | Hex: 0000FF22 | Flt: 10 Ch: 11 | (No Threshold)                | W_9b: 100100010
Addr 188  | Hex: 0000FE78 | Flt: 10 Ch: 12 | (No Threshold)                | W_9b: 001111000
Addr 189  | Hex: 0000FE5B | Flt: 10 Ch: 13 | (No Threshold)                | W_9b: 001011011
Addr 190  | Hex: 0000FE58 | Flt: 10 Ch: 14 | (No Threshold)                | W_9b: 001011000
Addr 191  | Hex: 53448052 | Flt: 10 Ch: 15 | Pol: 1 | Pos_Th: 68  | Neg_Th: 83  | W_9b: 001010010
Addr 192  | Hex: 0000FF36 | Flt: 11 Ch: 0  | (No Threshold)                | W_9b: 100110110
Addr 193  | Hex: 0000FEB9 | Flt: 11 Ch: 1  | (No Threshold)                | W_9b: 010111001
Addr 194  | Hex: 0000FE9E | Flt: 11 Ch: 2  | (No Threshold)                | W_9b: 010011110
Addr 195  | Hex: 0000FEF9 | Flt: 11 Ch: 3  | (No Threshold)                | W_9b: 011111001
Addr 196  | Hex: 0000FEED | Flt: 11 Ch: 4  | (No Threshold)                | W_9b: 011101101
Addr 197  | Hex: 0000FFCE | Flt: 11 Ch: 5  | (No Threshold)                | W_9b: 111001110
Addr 198  | Hex: 0000FE36 | Flt: 11 Ch: 6  | (No Threshold)                | W_9b: 000110110
Addr 199  | Hex: 0000FE92 | Flt: 11 Ch: 7  | (No Threshold)                | W_9b: 010010010
Addr 200  | Hex: 0000FF26 | Flt: 11 Ch: 8  | (No Threshold)                | W_9b: 100100110
Addr 201  | Hex: 0000FE9E | Flt: 11 Ch: 9  | (No Threshold)                | W_9b: 010011110
Addr 202  | Hex: 0000FE4E | Flt: 11 Ch: 10 | (No Threshold)                | W_9b: 001001110
Addr 203  | Hex: 0000FF26 | Flt: 11 Ch: 11 | (No Threshold)                | W_9b: 100100110
Addr 204  | Hex: 0000FED1 | Flt: 11 Ch: 12 | (No Threshold)                | W_9b: 011010001
Addr 205  | Hex: 0000FEDB | Flt: 11 Ch: 13 | (No Threshold)                | W_9b: 011011011
Addr 206  | Hex: 0000FED9 | Flt: 11 Ch: 14 | (No Threshold)                | W_9b: 011011001
Addr 207  | Hex: 4F438049 | Flt: 11 Ch: 15 | Pol: 1 | Pos_Th: 67  | Neg_Th: 79  | W_9b: 001001001
Addr 208  | Hex: 0000FEDB | Flt: 12 Ch: 0  | (No Threshold)                | W_9b: 011011011
Addr 209  | Hex: 0000FE29 | Flt: 12 Ch: 1  | (No Threshold)                | W_9b: 000101001
Addr 210  | Hex: 0000FE79 | Flt: 12 Ch: 2  | (No Threshold)                | W_9b: 001111001
Addr 211  | Hex: 0000FE5B | Flt: 12 Ch: 3  | (No Threshold)                | W_9b: 001011011
Addr 212  | Hex: 0000FF2C | Flt: 12 Ch: 4  | (No Threshold)                | W_9b: 100101100
Addr 213  | Hex: 0000FF4B | Flt: 12 Ch: 5  | (No Threshold)                | W_9b: 101001011
Addr 214  | Hex: 0000FE4B | Flt: 12 Ch: 6  | (No Threshold)                | W_9b: 001001011
Addr 215  | Hex: 0000FF5E | Flt: 12 Ch: 7  | (No Threshold)                | W_9b: 101011110
Addr 216  | Hex: 0000FEFD | Flt: 12 Ch: 8  | (No Threshold)                | W_9b: 011111101
Addr 217  | Hex: 0000FED9 | Flt: 12 Ch: 9  | (No Threshold)                | W_9b: 011011001
Addr 218  | Hex: 0000FEB8 | Flt: 12 Ch: 10 | (No Threshold)                | W_9b: 010111000
Addr 219  | Hex: 0000FECB | Flt: 12 Ch: 11 | (No Threshold)                | W_9b: 011001011
Addr 220  | Hex: 0000FE29 | Flt: 12 Ch: 12 | (No Threshold)                | W_9b: 000101001
Addr 221  | Hex: 0000FFD4 | Flt: 12 Ch: 13 | (No Threshold)                | W_9b: 111010100
Addr 222  | Hex: 0000FFA6 | Flt: 12 Ch: 14 | (No Threshold)                | W_9b: 110100110
Addr 223  | Hex: 52468136 | Flt: 12 Ch: 15 | Pol: 1 | Pos_Th: 70  | Neg_Th: 82  | W_9b: 100110110
Addr 224  | Hex: 0000FEF3 | Flt: 13 Ch: 0  | (No Threshold)                | W_9b: 011110011
Addr 225  | Hex: 0000FF33 | Flt: 13 Ch: 1  | (No Threshold)                | W_9b: 100110011
Addr 226  | Hex: 0000FE7A | Flt: 13 Ch: 2  | (No Threshold)                | W_9b: 001111010
Addr 227  | Hex: 0000FE79 | Flt: 13 Ch: 3  | (No Threshold)                | W_9b: 001111001
Addr 228  | Hex: 0000FEDF | Flt: 13 Ch: 4  | (No Threshold)                | W_9b: 011011111
Addr 229  | Hex: 0000FE4A | Flt: 13 Ch: 5  | (No Threshold)                | W_9b: 001001010
Addr 230  | Hex: 0000FFE8 | Flt: 13 Ch: 6  | (No Threshold)                | W_9b: 111101000
Addr 231  | Hex: 0000FF7B | Flt: 13 Ch: 7  | (No Threshold)                | W_9b: 101111011
Addr 232  | Hex: 0000FEFE | Flt: 13 Ch: 8  | (No Threshold)                | W_9b: 011111110
Addr 233  | Hex: 0000FEFB | Flt: 13 Ch: 9  | (No Threshold)                | W_9b: 011111011
Addr 234  | Hex: 0000FEBE | Flt: 13 Ch: 10 | (No Threshold)                | W_9b: 010111110
Addr 235  | Hex: 0000FE7E | Flt: 13 Ch: 11 | (No Threshold)                | W_9b: 001111110
Addr 236  | Hex: 0000FFDF | Flt: 13 Ch: 12 | (No Threshold)                | W_9b: 111011111
Addr 237  | Hex: 0000FF80 | Flt: 13 Ch: 13 | (No Threshold)                | W_9b: 110000000
Addr 238  | Hex: 0000FE8D | Flt: 13 Ch: 14 | (No Threshold)                | W_9b: 010001101
Addr 239  | Hex: 4E43809A | Flt: 13 Ch: 15 | Pol: 1 | Pos_Th: 67  | Neg_Th: 78  | W_9b: 010011010
Addr 240  | Hex: 0000FEF0 | Flt: 14 Ch: 0  | (No Threshold)                | W_9b: 011110000
Addr 241  | Hex: 0000FF0B | Flt: 14 Ch: 1  | (No Threshold)                | W_9b: 100001011
Addr 242  | Hex: 0000FF16 | Flt: 14 Ch: 2  | (No Threshold)                | W_9b: 100010110
Addr 243  | Hex: 0000FE29 | Flt: 14 Ch: 3  | (No Threshold)                | W_9b: 000101001
Addr 244  | Hex: 0000FE0F | Flt: 14 Ch: 4  | (No Threshold)                | W_9b: 000001111
Addr 245  | Hex: 0000FE4F | Flt: 14 Ch: 5  | (No Threshold)                | W_9b: 001001111
Addr 246  | Hex: 0000FE57 | Flt: 14 Ch: 6  | (No Threshold)                | W_9b: 001010111
Addr 247  | Hex: 0000FFE8 | Flt: 14 Ch: 7  | (No Threshold)                | W_9b: 111101000
